id|sub_cat_id|company_name_cn
002-004-062|002-004|華僑永亨銀行有限公司
002-004-063|002-004|大眾銀行(香港)有限公司
002-004-064|002-004|上海商業銀行有限公司
002-004-065|002-004|渣打銀行(香港)有限公司
002-004-066|002-004|大生銀行有限公司
002-004-067|002-004|大有銀行有限公司
002-004-068|002-004|招商永隆銀行有限公司
002-004-069|002-004|天星銀行有限公司
002-004-070|002-004|螞蟻銀行(香港)有限公司
002-004-071|002-004|富融銀行有限公司
002-004-072|002-004|Livi Bank Limited
002-004-073|002-004|Mox Bank
002-004-074|002-004|平安壹賬通銀行(香港)有限公司
002-004-075|002-004|匯立銀行有限公司
002-004-076|002-004|眾安銀行有限公司
002-005-077|002-005|Visa
002-005-078|002-005|萬事達卡
002-005-079|002-005|美國運通
002-005-080|002-005|JCB
002-005-081|002-005|銀聯
002-006-082|002-006|邦民日本財務
002-006-083|002-006|安信
002-006-084|002-006|WeLend
002-006-085|002-006|優尚信貸
002-006-086|002-006|AEON信貸財務
002-007-087|002-007|美國友邦保險
002-007-088|002-007|藍十字(亞太)保險有限公司
002-007-089|002-007|中國平安保險(香港)公司
002-007-090|002-007|中國人壽保險股份有限公司香港分公司
002-007-091|002-007|香港信諾環球保險公司
002-007-092|002-007|英國保誠保險有限公司(香港)
002-007-093|002-007|宏利香港
002-007-094|002-007|太平洋人壽保險有限公司
002-007-095|002-007|蘇黎世保險集團 (香港)
002-007-096|002-007|安盛保險
002-007-097|002-007|保柏(亞洲)有限公司
002-007-098|002-007|富衛保險
002-007-099|002-007|富通保險(亞洲)有限公司
002-007-100|002-007|意大利忠利保險(香港)
002-007-101|002-007|美亞保險
002-007-102|002-007|富勤保險(香港)有限公司
002-007-103|002-007|三井住友海上火災保險（香港）有限公司
002-007-104|002-007|保泰人壽
002-008-105|002-008|安本香港有限公司
002-008-106|002-008|聯博香港有限公司
002-008-107|002-008|安聯環球投資亞太有限公司
002-008-108|002-008|東方匯理資產管理香港有限公司
002-008-109|002-008|安盛投資管理亞洲有限公司
002-008-110|002-008|霸菱資產管理(亞洲)有限公司
002-008-111|002-008|東亞聯豐投資管理有限公司
002-008-112|002-008|貝萊德資產管理北亞有限公司
002-008-113|002-008|BMO Global Asset Management (Asia) Limited
002-008-114|002-008|法國巴黎資產管理亞洲有限公司
002-008-115|002-008|中銀香港資產管理有限公司
002-008-116|002-008|中銀國際英國保誠資產管理有限公司
002-008-117|002-008|Capital Group
002-008-118|002-008|中國國際金融香港資產管理有限公司
002-008-119|002-008|中國人壽富蘭克林資產管理(香港)有限公司
002-008-120|002-008|匯添富資產管理(香港)有限公司
002-008-121|002-008|上投摩根資產管理 (香港)有限公司
002-008-122|002-008|Citigroup First Investment Management Limited
002-008-123|002-008|DWS Investment S.A.
002-008-124|002-008|易方達資產管理(香港)有限公司
002-008-125|002-008|瀚亞投資(香港)有限公司
002-008-126|002-008|富達基金(香港)有限公司
002-008-127|002-008|First Sentier Investors (Hong Kong) Limited
002-008-128|002-008|富蘭克林鄧普頓投資 (亞洲)有限公司
002-008-129|002-008|高騰國際資產管理有限公司
002-008-130|002-008|高盛資產管理(香港)有限公司
002-008-131|002-008|國泰君安資產管理(亞洲)有限公司
002-008-132|002-008|恆生投資管理有限公司
002-008-133|002-008|嘉實國際資產管理有限公司
002-008-134|002-008|滙豐環球投資管理(香港)有限公司
002-008-135|002-008|景順投資管理有限公司
002-008-136|002-008|摩根基金(亞洲)有限公司
002-008-137|002-008|駿利亨德森投資香港有限公司
002-008-138|002-008|木星資產管理(香港)有限公司
002-008-139|002-008|英仕曼投資(香港)有限公司
002-008-140|002-008|宏利投資管理(香港)有限公司
002-008-141|002-008|銘基環球投資(香港)有限公司
002-008-142|002-008|未來資產環球投資(香港) 有限公司
002-008-143|002-008|麻省金融服務國際(香港)有限公司
002-008-144|002-008|摩根士丹利亞洲有限公司
002-008-145|002-008|路博邁亞洲有限公司
002-008-146|002-008|法盛投資管理香港有限公司
002-008-147|002-008|晉達資產管理香港有限公司
002-008-148|002-008|瑞士百達資產管理(香港)有限公司
002-008-149|002-008|PIMCO (Asia) Limited
002-008-150|002-008|柏瑞投資亞洲有限公司
002-008-151|002-008|中國平安資產管理(香港)有限公司
002-008-152|002-008|信安資金管理（亞洲）有限公司
002-008-153|002-008|荷寶投資管理集團
002-008-154|002-008|施羅德投資管理(香港)有限公司
002-008-155|002-008|道富環球投資管理亞洲有限公司
002-008-156|002-008|泰康資產管理 (香港)有限公司
002-008-157|002-008|天利投資管理香港有限公司
002-008-158|002-008|瑞士銀行 - 環球資產管理
002-008-159|002-008|惠理基金管理公司
002-008-160|002-008|行健資產管理有限公司
002-009-161|002-009|八達通
002-009-162|002-009|Payme
002-009-163|002-009|Paypal
002-009-164|002-009|支付寶
002-009-165|002-009|拍住賞
003-010-166|003-010|宏碁
003-010-167|003-010|Anker
003-010-168|003-010|蘋果
003-010-169|003-010|華碩
003-010-170|003-010|博西華
003-010-171|003-010|Bose
003-010-172|003-010|百靈
003-010-173|003-010|Bruno
003-010-174|003-010|佳能
003-010-175|003-010|開利
003-010-176|003-010|迪比亞
003-010-177|003-010|戴爾
003-010-178|003-010|DELONGHI
003-010-179|003-010|大疆
003-010-180|003-010|戴森
003-010-181|003-010|伊萊克斯
003-010-182|003-010|愛普生
003-010-183|003-010|Fitbit
003-010-184|003-010|FOREO
003-010-185|003-010|豐澤牌
003-010-186|003-010|Garmin
003-010-187|003-010|日立
003-010-188|003-010|惠普
003-010-189|003-010|華為
003-010-190|003-010|捷波朗
003-010-191|003-010|聯想
003-010-192|003-010|LG
003-010-193|003-010|Linksys
003-010-194|003-010|羅技
003-010-195|003-010|馬歇爾
003-010-196|003-010|小米
003-010-197|003-010|微軟
003-010-198|003-010|Miele
003-010-199|003-010|米家
003-010-200|003-010|三菱電機
003-010-201|003-010|Nespresso
003-010-202|003-010|NETGEAR
003-010-203|003-010|OSIM
003-010-204|003-010|樂聲牌
003-010-205|003-010|飛歌
003-010-206|003-010|飛利浦
003-010-207|003-010|POCO
003-010-208|003-010|雷蛇
003-010-209|003-010|Recolte
003-010-210|003-010|三星電子
003-010-211|003-010|西門子
003-010-212|003-010|SONOS
003-010-213|003-010|索尼
003-010-214|003-010|特福
003-010-215|003-010|東芝
003-010-216|003-010|TP-Link
003-010-217|003-010|Vinvautz
003-010-218|003-010|惠而浦
003-010-219|003-010|金章
003-011-220|003-011|富士
003-011-221|003-011|索尼
003-011-222|003-011|佳能
